date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Kilnhouse,E05005194,1568,293,461,372,442
2011,Kirkham North,E05005195,2936,655,826,674,781
2011,Kirkham South,E05005196,1878,366,682,380,450
2011,Medlar-with-Wesham,E05005197,1803,282,460,374,687
2011,Newton and Treales,E05005198,2776,705,779,730,562
2011,Park,E05005199,1271,397,448,183,243
2011,Ribby-with-Wrea,E05005200,836,231,282,163,160
2011,St Johns,E05005201,2126,589,665,420,452
2011,St Leonards,E05005202,2738,522,977,550,689
2011,Singleton and Greenhalgh,E05005203,1021,216,297,227,281
2011,Staining and Weeton,E05005204,1571,325,659,294,293
2011,Warton and Westby,E05005205,13400,5324,3887,2591,1598
2011,Altham,E05005206,5034,818,1269,1449,1498
2011,Barnfield,E05005207,5389,869,1747,1220,1553
2011,Baxenden,E05005208,1182,293,320,289,280
2011,Central,E05005209,4633,545,1086,853,2149
2011,Church,E05005210,2987,363,761,700,1163
2011,Clayton-le-Moors,E05005211,3343,531,943,913,956
2011,Huncoat,E05005212,1553,202,392,362,597
2011,Immanuel,E05005213,1510,183,428,437,462
2011,Milnshaw,E05005214,2647,413,740,661,833
2011,Netherton,E05005215,2346,251,535,648,912
2011,Overton,E05005216,2407,371,613,670,753
2011,Peel,E05005217,2290,226,554,589,921
2011,Rishton,E05005218,3440,498,1054,855,1033
2011,St Andrew's,E05005219,2427,381,560,708,778
2011,St Oswald's,E05005220,2200,340,571,739,550
2011,Spring Hill,E05005221,2898,281,556,674,1387
2011,Bare,E05005222,1685,347,426,414,498
2011,Bolton-le-Sands,E05005223,1207,247,334,369,257
2011,Bulk,E05005224,5525,1017,2104,1058,1346
2011,Carnforth,E05005225,3047,475,810,948,814
2011,Castle,E05005226,3921,874,1505,706,836
2011,Duke's,E05005227,10824,2719,4233,2013,1859
2011,Ellel,E05005228,2305,530,574,772,429
2011,Halton-with-Aughton,E05005229,695,180,204,189,122
2011,Harbour,E05005230,2653,249,631,736,1037
2011,Heysham Central,E05005231,1561,179,370,424,588
2011,Heysham North,E05005232,2108,280,522,512,794
2011,Heysham South,E05005233,2371,353,612,679,727
2011,John O'Gaunt,E05005234,3536,819,1613,516,588
2011,Kellet,E05005235,947,258,252,309,128
2011,Lower Lune Valley,E05005236,2726,599,729,835,563
2011,Overton,E05005237,3060,628,932,875,625
2011,Poulton,E05005238,5708,873,1619,1391,1825
2011,Scotforth East,E05005239,1493,297,444,333,419
2011,Scotforth West,E05005240,2514,631,1022,433,428
2011,Silverdale,E05005241,937,298,245,246,148
2011,Skerton East,E05005242,2595,418,635,641,901
2011,Skerton West,E05005243,2031,260,357,537,877
2011,Slyne-with-Hest,E05005244,1744,436,555,415,338
2011,Torrisholme,E05005245,2391,580,693,616,502
2011,University,E05005246,3266,1566,864,477,359
2011,Upper Lune Valley,E05005247,1177,323,297,362,195
2011,Warton,E05005248,1003,180,278,328,217
2011,Westgate,E05005249,6126,691,1638,1761,2036
2011,Barrowford,E05005250,2154,447,629,548,530
2011,Blacko and Higherford,E05005251,496,136,155,110,95
2011,Boulsworth,E05005252,1808,374,465,584,385
2011,Bradley,E05005253,5471,756,1215,1320,2180
2011,Brierfield,E05005254,4705,723,1233,1145,1604
2011,Clover Hill,E05005255,2911,344,643,653,1271
2011,Coates,E05005256,2644,366,539,909,830
2011,Craven,E05005257,2379,360,582,696,741
2011,Earby,E05008551,3333,576,853,983,921
2011,Foulridge,E05008552,980,204,236,342,198
2011,Higham and Pendleside,E05005260,683,193,194,197,99
2011,Horsfield,E05005261,2494,329,534,666,965
2011,Marsden,E05005262,2105,285,427,683,710
2011,Old Laund Booth,E05005263,758,198,216,175,169
2011,Reedley,E05005264,2044,357,541,413,733
2011,Southfield,E05005265,2490,212,469,552,1257
2011,Vivary Bridge,E05005266,3418,434,862,890,1232
2011,Walverden,E05005267,1748,221,375,427,725
2011,Waterside,E05005268,5233,644,1262,1460,1867
2011,Whitefield,E05005269,4107,607,1051,880,1569
2011,Ashton,E05005270,1978,399,671,508,400
2011,Brookfield,E05005271,3666,471,859,963,1373
2011,Cadley,E05005272,1494,384,450,367,293
2011,College,E05005273,3091,1055,1033,562,441
2011,Deepdale,E05005274,4291,495,1226,890,1680
2011,Fishwick,E05005275,2462,273,577,471,1141
2011,Garrison,E05005276,4375,982,1402,888,1103
2011,Greyfriars,E05005277,2240,720,843,356,321
2011,Ingol,E05005278,2394,260,608,597,929
2011,Larches,E05005279,2266,338,527,621,780
2011,Lea,E05005280,1828,412,595,439,382
2011,Moor Park,E05005281,3122,443,1209,597,873
2011,Preston Rural East,E05005282,2186,620,711,571,284
2011,Preston Rural North,E05005283,3849,907,1112,1164,666
2011,Ribbleton,E05005284,6046,710,1462,1535,2339
2011,Riversway,E05005285,10264,2205,3982,2017,2060
2011,St George's,E05005286,4778,494,1828,846,1610
2011,St Matthew's,E05005287,5631,621,1763,1131,2116
2011,Sharoe Green,E05005288,14111,4264,4914,2689,2244
2011,Town Centre,E05005289,21060,4272,8525,3582,4681
2011,Tulketh,E05005290,4120,525,1580,880,1135
2011,University,E05005291,6836,2278,2306,1086,1166
2011,"Aighton, Bailey and Chaigley",E05005292,936,309,206,262,159
2011,Alston and Hothersall,E05005293,1781,385,383,562,451
2011,Billington and Old Langho,E05005294,1028,322,310,228,168
2011,"Bowland, Newton and Slaidburn",E05005295,657,154,164,238,101
2011,Chatburn,E05005296,652,129,170,193,160
2011,Chipping,E05005297,607,147,132,224,104
2011,Clayton-le-Dale with Ramsgreave,E05005298,1170,325,389,265,191
2011,Derby and Thornley,E05005299,1765,359,444,560,402
2011,Dilworth,E05005300,778,169,198,233,178
2011,Edisford and Low Moor,E05005301,912,132,169,313,298
2011,"Gisburn, Rimington",E05005302,1183,205,280,438,260
2011,Langho,E05005303,1039,243,380,248,168
2011,Littlemoor,E05005304,1357,346,310,344,357
2011,Mellor,E05005305,5977,1990,1516,1788,683
2011,Primrose,E05005306,2034,361,564,536,573
2011,Read and Simonstone,E05005307,1897,402,757,441,297
2011,Ribchester,E05005308,598,137,208,154,99
2011,Sabden,E05005309,435,92,133,124,86
2011,St Mary's,E05005310,2115,540,541,564,470
2011,Salthill,E05005311,3188,609,826,889,864
2011,Waddington and West Bradford,E05005312,1122,336,283,322,181
2011,Whalley,E05005313,3102,772,960,789,581
2011,Wilpshire,E05005314,690,279,201,113,97
2011,Wiswell and Pendleton,E05005315,698,212,216,149,121
2011,Cribden,E05005316,1572,421,413,350,388
2011,Eden,E05005317,1837,414,559,491,373
2011,Facit and Shawforth,E05005318,1591,265,426,464,436
2011,Goodshaw,E05005319,1508,324,490,441,253
2011,Greenfield,E05005320,3825,760,983,1087,995
2011,Greensclough,E05005321,3350,547,783,934,1086
2011,Hareholme,E05005322,3733,688,1200,920,925
2011,Healey and Whitworth,E05005323,1411,251,329,423,408
2011,Helmshore,E05005324,2224,497,649,516,562
2011,Irwell,E05005325,2253,292,549,576,836
2011,Longholme,E05005326,3587,650,1019,891,1027
2011,Stacksteads,E05005327,1534,174,336,470,554
2011,Whitewell,E05005328,2516,511,564,720,721
2011,Worsley,E05005329,4719,760,1151,1117,1691
2011,Bamber Bridge East,E05005330,9413,1883,2491,2356,2683
2011,Bamber Bridge North,E05005331,1809,396,582,457,374
2011,Bamber Bridge West,E05005332,3174,542,825,896,911
2011,Broad Oak,E05005333,1320,400,439,236,245
2011,Charnock,E05005334,948,150,268,278,252
2011,Coupe Green and Gregson Lane,E05005335,806,183,258,222,143
2011,Earnshaw Bridge,E05005336,2792,486,667,786,853
2011,Farington East,E05005337,2707,548,840,730,589
2011,Farington West,E05005338,4316,942,1184,1187,1003
2011,Golden Hill,E05005339,3416,514,937,930,1035
2011,Howick and Priory,E05005340,1594,475,567,308,244
2011,Kingsfold,E05005341,1453,231,394,364,464
2011,Leyland Central,E05005342,2270,418,744,614,494
2011,Leyland St. Ambrose,E05005343,2897,652,923,678,644
2011,Leyland St. Mary's,E05005344,2726,811,786,551,578
2011,Little Hoole and Much Hoole,E05005345,1639,360,429,501,349
2011,Longton and Hutton West,E05005346,1975,497,606,500,372
2011,Lostock Hall,E05005347,1601,226,415,504,456
2011,Lowerhouse,E05005348,2040,383,562,445,650
2011,Middleforth,E05005349,1247,241,354,345,307
2011,Moss Side,E05005350,1899,375,495,503,526
2011,New Longton and Hutton East,E05005351,2285,555,895,492,343
2011,Samlesbury and Walton,E05005352,3947,721,1318,970,938
2011,Seven Stars,E05005353,1336,185,362,344,445
2011,Tardy Gate,E05005354,1117,241,312,330,234
2011,Walton-le-Dale,E05005355,980,216,316,247,201
2011,Whitefield,E05005356,1248,373,404,262,209
2011,Ashurst,E05005357,1976,333,533,435,675
2011,Aughton and Downholland,E05005358,1904,502,613,474,315
2011,Aughton Park,E05005359,1046,339,346,209,152
2011,Birch Green,E05005360,3233,326,796,653,1458
2011,Burscough East,E05005361,1418,276,394,406,342
2011,Burscough West,E05005362,3486,639,965,1085,797
2011,Derby,E05005363,6044,1864,2391,955,834
2011,Digmoor,E05005364,1778,134,360,330,954
2011,Halsall,E05005365,1002,204,334,275,189
2011,Hesketh-with-Becconsall,E05005366,1678,288,416,558,416
2011,Knowsley,E05005367,2897,587,1032,579,699
2011,Moorside,E05005368,1466,141,258,298,769
2011,North Meols,E05005369,1678,231,470,485,492
2011,Parbold,E05005370,1764,529,509,412,314
2011,Rufford,E05005371,899,224,237,257,181
2011,Scarisbrick,E05005372,2331,409,707,621,594
2011,Scott,E05005373,3908,738,1447,833,890
2011,Skelmersdale North,E05005374,6343,1149,1521,1604,2069
2011,Skelmersdale South,E05005375,4268,702,1112,1115,1339
2011,Tanhouse,E05005376,2556,364,732,465,995
2011,Tarleton,E05005377,2912,595,795,808,714
2011,Up Holland,E05005378,6259,1030,1614,1476,2139
2011,Wrightington,E05005379,3069,793,929,780,567
2011,Bickerstaffe,E05005380,1674,237,430,482,525
2011,Newburgh,E05005381,1379,513,393,292,181
2011,Bourne,E05005382,3539,586,1059,932,962
2011,Breck,E05005383,3386,769,1207,814,596
2011,Brock,E05005384,2074,551,529,585,409
2011,Cabus,E05005385,598,124,169,186,119
2011,Calder,E05005386,1230,300,280,403,247
2011,Carleton,E05005387,1169,308,364,288,209
2011,Catterall,E05005388,890,178,206,292,214
2011,Cleveleys Park,E05005389,1676,244,457,468,507
2011,Garstang,E05005390,2768,590,779,773,626
2011,Great Eccleston,E05005391,1871,376,450,664,381
2011,Hambleton and Stalmine-with-Staynall,E05005392,1433,263,406,447,317
2011,Hardhorn,E05005393,906,246,306,183,171
2011,High Cross,E05005394,968,228,296,242,202
2011,Jubilee,E05005395,2470,313,741,596,820
2011,Mount,E05005396,3359,260,893,929,1277
2011,Norcross,E05005397,1381,198,456,351,376
2011,Park,E05005398,1684,259,415,380,630
2011,Pharos,E05005399,4053,478,1182,894,1499
2011,Pilling,E05005400,957,167,268,330,192
2011,Preesall,E05005401,2119,341,584,634,560
2011,Rossall,E05005402,2988,461,886,606,1035
2011,Staina,E05005403,1714,396,558,439,321
2011,Tithebarn,E05005404,2287,540,707,574,466
2011,Victoria,E05005405,4163,787,1899,728,749
2011,Warren,E05005406,1827,237,451,478,661
2011,Wyresdale,E05005407,1031,221,266,345,199
2011,Cherryfield,E05000865,2890,301,644,672,1273
2011,Halewood North,E05000866,1721,337,529,428,427
2011,Halewood South,E05000867,5991,817,1272,1484,2418
2011,Halewood West,E05000868,2504,283,518,544,1159
2011,Kirkby Central,E05000869,6305,624,1633,1438,2610
2011,Longview,E05000870,4902,616,1173,940,2173
2011,Northwood,E05000871,7866,1009,1942,1898,3017
2011,Page Moss,E05000872,3514,322,736,728,1728
2011,Park,E05000873,2543,173,553,556,1261
2011,Prescot East,E05000874,4421,487,1102,1077,1755
2011,Prescot West,E05000875,7599,1380,2142,1934,2143
2011,Roby,E05000876,2555,461,766,616,712
2011,St Bartholomews,E05000877,6198,1092,1964,1294,1848
2011,St Gabriels,E05000878,4834,628,1378,1299,1529
2011,St Michaels,E05000879,2475,246,503,601,1125
2011,Shevington,E05000880,2076,179,450,454,993
2011,Stockbridge,E05000881,2558,183,394,545,1436
2011,Swanside,E05000882,2211,303,578,612,718
2011,Whiston North,E05000883,8047,1761,2554,1672,2060
2011,Whiston South,E05000884,3821,532,915,1008,1366
2011,Whitefield,E05000885,4474,516,1422,847,1689
2011,Allerton and Hunts Cross,E05000886,8562,1546,2506,1698,2812
2011,Anfield,E05000887,7133,540,1965,1429,3199
2011,Belle Vale,E05000888,6813,611,1769,1351,3082
2011,Central,E05000889,72816,18234,31181,10227,13174
2011,Childwall,E05000890,5935,1797,1873,1059,1206
2011,Church,E05000891,7003,1835,2541,1246,1381
2011,Clubmoor,E05000892,6658,413,1471,1432,3342
2011,County,E05000893,7052,638,1695,1490,3229
2011,Cressington,E05000894,5378,980,1715,1012,1671
2011,Croxteth,E05000895,5820,709,1494,1199,2418
2011,Everton,E05000896,10894,1186,2793,1928,4987
2011,Fazakerley,E05000897,16491,2924,5380,3701,4486
2011,Greenbank,E05000898,10574,1335,6308,924,2007
2011,Kensington and Fairfield,E05000899,11795,1581,3528,2080,4606
2011,Kirkdale,E05000900,13499,1415,3699,2907,5478
2011,Knotty Ash,E05000901,11230,2119,3617,2206,3288
2011,Mossley Hill,E05000902,4920,1393,1623,823,1081
2011,Norris Green,E05000903,6416,404,1458,1162,3392
2011,Old Swan,E05000904,11297,1488,3377,2505,3927
2011,Picton,E05000905,9476,879,3766,1196,3635
2011,Princes Park,E05000906,13096,2177,4892,1583,4444
2011,Riverside,E05000907,22561,4413,9394,3269,5485
2011,St Michael's,E05000908,5713,1112,1871,856,1874
2011,Speke-Garston,E05000909,24855,3329,6450,5712,9364
2011,Tuebrook and Stoneycroft,E05000910,7750,919,1982,1503,3346
2011,Warbreck,E05000911,8767,822,2729,1873,3343
2011,Wavertree,E05000912,8775,1896,3173,1496,2210
2011,West Derby,E05000913,5264,906,1450,1219,1689
2011,Woolton,E05000914,5376,1500,1637,1010,1229
2011,Yew Tree,E05000915,6356,640,1506,1339,2871
2011,Ainsdale,E05000932,4309,1034,1383,869,1023
2011,Birkdale,E05000933,4925,1093,1382,1240,1210
2011,Blundellsands,E05000934,4637,1354,1479,893,911
2011,Cambridge,E05000935,5471,1009,1782,1159,1521
2011,Church,E05000936,7855,1288,2700,1609,2258
2011,Derby,E05000937,8495,984,2745,1746,3020
2011,Duke's,E05000938,15006,3019,5169,3035,3783
2011,Ford,E05000939,4844,508,1272,1145,1919
2011,Harington,E05000940,4230,1470,1371,752,637
2011,Kew,E05000941,9155,1996,2830,2107,2222
2011,Linacre,E05000942,13730,2084,4581,2525,4540
2011,Litherland,E05000943,5139,459,1329,1228,2123
2011,Manor,E05000944,4884,986,1382,1081,1435
2011,Meols,E05000945,4250,866,1251,1132,1001
2011,Molyneux,E05000946,6316,911,2131,1615,1659
2011,Netherton and Orrell,E05000947,10645,1511,3750,2416,2968
2011,Norwood,E05000948,6638,973,1853,1734,2078
2011,Park,E05000949,5627,1109,1771,1412,1335
2011,Ravenmeols,E05000950,6032,1410,2158,1272,1192
2011,St Oswald,E05000951,5146,490,1412,1147,2097
2011,Sudell,E05000952,5867,1218,2150,1428,1071
2011,Victoria,E05000953,6000,1540,1817,1269,1374
2011,Billinge and Seneley Green,E05000916,3839,801,1079,1013,946
2011,Blackbrook,E05000917,3369,416,740,873,1340
2011,Bold,E05000918,4940,522,1134,1290,1994
2011,Earlestown,E05000919,5393,665,1332,1456,1940
2011,Eccleston,E05000920,3930,1002,1173,870,885
2011,Haydock,E05000921,10818,1495,2711,2657,3955
2011,Moss Bank,E05000922,3672,422,797,949,1504
2011,Newton,E05000923,5224,1114,1448,1214,1448
2011,Parr,E05000924,6060,535,1092,1314,3119
2011,Rainford,E05000925,4168,983,1211,954,1020
2011,Rainhill,E05000926,4022,907,1135,963,1017
2011,Sutton,E05000927,4902,540,1087,1380,1895
2011,Thatto Heath,E05000928,4680,607,1125,1086,1862
2011,Town Centre,E05000929,23492,3553,6778,5564,7597
2011,West Park,E05000930,4946,856,1313,1074,1703
2011,Windle,E05000931,4519,850,1237,1033,1399
2011,Bebington,E05000954,5815,1274,1653,1315,1573
2011,Bidston and St James,E05000955,10167,1006,2129,2369,4663
2011,Birkenhead and Tranmere,E05000956,22390,3658,7763,4390,6579
2011,Bromborough,E05000957,14584,2559,3981,3251,4793
2011,Clatterbridge,E05000958,8209,2667,2526,1520,1496
2011,Claughton,E05000959,6163,1327,1540,1378,1918
2011,Eastham,E05000960,5296,1180,1366,1277,1473
2011,"Greasby, Frankby and Irby",E05000961,4334,1166,1334,1019,815
2011,Heswall,E05000962,6170,2079,1978,1069,1044
2011,Hoylake and Meols,E05000963,7477,2203,2415,1442,1417
2011,Leasowe and Moreton East,E05000964,7119,988,1707,1481,2943
2011,Liscard,E05000965,8310,1199,2671,1880,2560
2011,Moreton West and Saughall Massie,E05000966,5875,770,1673,1498,1934
2011,New Brighton,E05000967,5437,807,1694,1204,1732
2011,Oxton,E05000968,4981,1068,1477,1046,1390
2011,Pensby and Thingwall,E05000969,4359,969,1318,1046,1026
2011,Prenton,E05000970,6308,1129,1828,1567,1784
2011,Rock Ferry,E05000971,6837,695,1550,1488,3104
2011,Seacombe,E05000972,8729,985,2219,1920,3605
2011,Upton,E05000973,12058,2307,3786,2442,3523
2011,Wallasey,E05000974,6012,1355,1921,1380,1356
2011,West Kirby and Thurstaston,E05000975,4659,1714,1321,813,811
2011,Beverley Rural,E05001687,6653,1609,2338,1658,1048
2011,Bridlington Central and Old Town,E05001688,4408,471,926,1288,1723
2011,Bridlington North,E05001689,4468,684,1197,1245,1342
2011,Bridlington South,E05001690,10545,1109,2848,2781,3807
2011,Cottingham North,E05001691,7910,1898,2582,1985,1445
2011,Cottingham South,E05001692,4473,907,1681,1013,872
2011,Dale,E05001693,8524,2441,2661,2211,1211
2011,Driffield and Rural,E05001694,8255,1465,2236,2240,2314
2011,East Wolds and Coastal,E05001695,8049,1266,2008,2773,2002
2011,Goole North,E05001696,4594,548,1035,1328,1683
2011,Goole South,E05001697,7973,839,1772,2220,3142
2011,Hessle,E05001698,8275,1813,2475,2200,1787
2011,Howden,E05001699,2987,711,867,810,599
2011,Howdenshire,E05001700,8724,1616,2246,2636,2226
2011,Mid Holderness,E05001701,5904,975,1565,1938,1426
2011,Minster and Woodmansey,E05001702,9356,1759,2597,2538,2462
2011,North Holderness,E05001703,4777,885,1282,1341,1269
2011,Pocklington Provincial,E05001704,7331,1914,2081,1832,1504
2011,St Mary's,E05001705,10983,3058,3846,2113,1966
2011,"Snaith, Airmyn, Rawcliffe and Marshland",E05001706,5780,976,1344,1742,1718
2011,South East Holderness,E05001707,7377,975,1820,2293,2289
2011,South Hunsley,E05001708,4364,1363,1285,963,753
2011,South West Holderness,E05001709,8307,1485,2033,2606,2183
2011,Tranby,E05001710,4505,846,1249,1328,1082
2011,Willerby and Kirk Ella,E05001711,5675,1567,1786,1343,979
2011,Wolds Weighton,E05001712,8444,1752,2663,2383,1646
2011,Avenue,E05001664,5963,1095,2034,1167,1667
2011,Beverley,E05001665,3816,487,1398,957,974
2011,Boothferry,E05001666,3788,448,1034,1089,1217
2011,Bransholme East,E05001667,4297,322,731,999,2245
2011,Bransholme West,E05001668,4175,237,825,1067,2046
2011,Bricknell,E05001669,4611,860,1259,1258,1234
2011,Derringham,E05001670,3268,329,748,994,1197
2011,Drypool,E05001671,14089,2215,3549,3916,4409
2011,Holderness,E05001672,12620,1442,2972,3739,4467
2011,Ings,E05001673,4333,546,1006,1138,1643
2011,Kings Park,E05001674,4480,544,1168,1284,1484
2011,Longhill,E05001675,4714,374,837,1195,2308
2011,Marfleet,E05001676,12512,1252,2870,3432,4958
2011,Myton,E05001677,43664,8213,14977,9070,11404
2011,Newington,E05001678,5567,502,1313,1365,2387
2011,Newland,E05001679,8866,733,4634,1317,2182
2011,Orchard Park and Greenwood,E05001680,5832,232,863,1183,3554
2011,Pickering,E05001681,7734,928,2267,1878,2661
2011,St Andrew's,E05001682,9913,989,2435,2470,4019
2011,Southcoates East,E05001683,3760,284,725,904,1847
2011,Southcoates West,E05001684,2808,220,563,818,1207
2011,Sutton,E05001685,4164,454,925,1169,1616
2011,University,E05001686,8240,2124,3051,1238,1827
2011,Croft Baker,E05001713,5633,691,1453,1376,2113
2011,East Marsh,E05001714,12238,1063,2796,2730,5649
2011,Freshney,E05001715,7538,964,1845,1967,2762
2011,Haverstoe,E05001716,3089,596,805,814,874
2011,Heneage,E05001717,6255,729,1321,1533,2672
2011,Humberston and New Waltham,E05001718,5038,742,1289,1564,1443
2011,Immingham,E05001719,10365,1162,2553,3154,3496
2011,Park,E05001720,10133,2231,3051,2325,2526
2011,Scartho,E05001721,2926,476,817,836,797
2011,Sidney Sussex,E05001722,5497,418,1148,1507,2424
2011,South,E05001723,5815,581,1011,1319,2904
2011,Waltham,E05001724,2481,570,673,653,585
2011,West Marsh,E05001725,14386,1772,4165,3599,4850
2011,Wolds,E05001726,5061,933,1390,1238,1500
2011,Yarborough,E05001727,4148,379,1009,1151,1609
2011,Ashby,E05001728,4927,473,1032,1363,2059
2011,Axholme Central,E05001729,3991,838,1114,1130,909
2011,Axholme North,E05001730,3530,508,801,1156,1065
2011,Axholme South,E05001731,2736,593,743,806,594
2011,Barton,E05001732,5963,881,1471,1683,1928
2011,Bottesford,E05001733,4019,768,1020,1260,971
2011,Brigg and Wolds,E05001734,7673,1517,1971,2210,1975
2011,Broughton and Appleby,E05001735,2392,379,614,751,648
2011,Brumby,E05001736,4676,364,805,1115,2392
2011,Burringham and Gunness,E05001737,2536,271,609,690,966
2011,Burton upon Stather and Winterton,E05001738,5642,907,1325,1533,1877
2011,Crosby and Park,E05001739,11100,1251,2199,2899,4751
2011,Ferry,E05001740,9375,1439,2294,2937,2705
2011,Frodingham,E05001741,11627,1650,2270,3490,4217
2011,Kingsway with Lincoln Gardens,E05001742,5427,1191,1270,1340,1626
2011,Ridge,E05001743,5111,954,1365,1449,1343
2011,Town,E05001744,13596,2037,3924,3382,4253
2011,Acomb,E05001745,2667,471,664,642,890
2011,Bishopthorpe,E05001746,1378,413,398,308,259
2011,Clifton,E05001747,10733,2651,3593,1939,2550
2011,Derwent,E05001748,2105,550,626,580,349
2011,Dringhouses and Woodthorpe,E05001749,4975,1435,1327,1045,1168
2011,Fishergate,E05001750,7938,1697,3990,1066,1185
2011,Fulford,E05001751,2221,598,749,453,421
2011,Guildhall,E05001752,22093,5524,8380,3843,4346
2011,Haxby and Wigginton,E05001753,3660,896,1122,931,711
2011,Heslington,E05001754,4552,2330,1450,456,316
2011,Heworth,E05001755,5911,1083,2137,1133,1558
2011,Heworth Without,E05001756,855,229,259,214,153
2011,Holgate,E05001757,5967,1532,1850,1277,1308
2011,Hull Road,E05001758,5155,554,2995,654,952
2011,Huntington and New Earswick,E05001759,9231,2031,2568,2276,2356
2011,Micklegate,E05001760,12748,4236,4120,2393,1999
2011,Osbaldwick,E05001761,2281,420,819,578,464
2011,Rural West York,E05001762,5817,1843,1712,1280,982
2011,"Skelton, Rawcliffe and Clifton Without",E05001763,9847,2416,3062,2109,2260
2011,Strensall,E05001764,3293,811,1108,756,618
2011,Westfield,E05001765,5082,708,1195,1296,1883
2011,Wheldrake,E05001766,2427,665,707,641,414
2011,Aire Valley with Lothersdale,E05006189,1838,557,566,452,263
2011,Barden Fell,E05006190,1056,276,264,396,120
2011,Bentham,E05006191,1757,378,441,543,395
2011,Cowling,E05006192,703,146,206,220,131
2011,Embsay-with-Eastby,E05006193,660,195,189,169,107
2011,Gargrave and Malhamdale,E05006194,2700,785,739,705,471
2011,Glusburn,E05006195,2677,486,757,861,573
2011,Grassington,E05006196,915,246,252,271,146
2011,Hellifield and Long Preston,E05006197,792,154,216,270,152
2011,Ingleton and Clapham,E05006198,1824,345,453,703,323
2011,Penyghent,E05006199,1019,308,230,297,184
2011,Settle and Ribblebanks,E05006200,2133,398,576,678,481
2011,Skipton East,E05006201,843,184,265,256,138
2011,Skipton North,E05006202,4623,1512,1419,955,737
2011,Skipton South,E05006203,1384,167,331,357,529
2011,Skipton West,E05006204,4771,771,1282,1277,1441
2011,Sutton-in-Craven,E05006205,1102,220,254,362,266
2011,Upper Wharfedale,E05006206,812,242,193,258,119
2011,West Craven,E05006207,1382,415,414,343,210
2011,Bedale,E05006208,2274,489,671,643,471
2011,Brompton,E05006209,625,103,145,203,174
2011,Broughton and Greenhow,E05006210,2195,633,654,544,364
2011,Cowtons,E05006211,701,200,198,201,102
2011,Crakehall,E05006212,752,165,201,257,129
2011,Easingwold,E05006213,4519,1511,1246,1004,758
2011,Great Ayton,E05006214,2065,503,503,552,507
2011,Helperby,E05006215,817,194,210,253,160
2011,Huby and Sutton,E05006216,961,271,259,274,157
2011,Leeming,E05006217,2670,545,1276,568,281
2011,Leeming Bar,E05006218,1891,321,481,468,621
2011,Morton-on-Swale,E05006219,705,166,181,266,92
2011,Northallerton Broomfield,E05006220,3462,1123,1284,607,448
2011,Northallerton Central,E05006221,3824,575,1358,872,1019
2011,Northallerton North,E05006222,6790,1465,2270,1640,1415
2011,Osmotherley,E05006223,685,188,151,241,105
2011,Romanby,E05006224,955,171,307,241,236
2011,Rudby,E05006225,1494,475,360,463,196
2011,Shipton,E05006226,1658,415,581,418,244
2011,Sowerby,E05006227,1915,411,478,523,503
2011,Stillington,E05006228,794,204,236,223,131
2011,Stokesley,E05006229,2762,856,705,572,629
2011,Swainby,E05006230,774,243,180,224,127
2011,Tanfield,E05006231,796,177,179,277,163
2011,Thirsk,E05006232,3053,535,884,815,819
2011,Thorntons,E05006233,1911,438,888,353,232
2011,Tollerton,E05006234,923,254,242,274,153
2011,Topcliffe,E05006235,2408,427,763,622,596
2011,White Horse,E05006236,1760,417,532,510,301
2011,Whitestonecliffe,E05006237,757,209,195,245,108
2011,Bilton,E05006238,1447,335,431,420,261
2011,Bishop Monkton,E05006239,1121,292,300,367,162
2011,Boroughbridge,E05006240,1772,408,495,470,399
2011,Claro,E05006241,1620,470,459,438,253
2011,Granby,E05006242,5572,1427,1734,1237,1174
2011,Harlow Moor,E05006243,3165,1136,982,506,541
2011,High Harrogate,E05006244,5515,1448,1895,1084,1088
2011,Hookstone,E05006245,5521,1706,1770,977,1068
2011,Killinghall,E05006246,2491,579,813,615,484
2011,Kirkby Malzeard,E05006247,1570,389,415,484,282
2011,Knaresborough East,E05006248,1863,475,519,488,381
2011,Knaresborough King James,E05006249,4277,1231,1429,876,741
2011,Knaresborough Scriven Park,E05006250,1816,507,556,372,381
2011,Low Harrogate,E05006251,10749,2929,3761,1993,2066
2011,Lower Nidderdale,E05006252,1569,423,443,450,253
2011,Marston Moor,E05006253,1710,464,512,453,281
2011,Mashamshire,E05006254,1407,299,356,481,271
2011,Newby,E05006255,2609,503,712,786,608
2011,New Park,E05006256,2122,386,624,556,556
2011,Nidd Valley,E05006257,4055,996,1974,724,361
2011,Ouseburn,E05006258,1642,570,360,465,247
2011,Pannal,E05006259,2075,816,673,338,248
2011,Pateley Bridge,E05006260,1353,318,427,420,188
2011,Ribston,E05006261,2333,546,639,651,497
2011,Ripon Minster,E05006262,3911,716,1132,1081,982
2011,Ripon Moorside,E05006263,1579,242,375,444,518
2011,Ripon Spa,E05006264,3405,875,1136,754,640
2011,Rossett,E05006265,5110,2382,1635,570,523
2011,Saltergate,E05006266,1660,370,535,358,397
