date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Gresham,E05001489,6568,568,2126,1232,2642
2011,Hemlington,E05001490,2226,155,437,504,1130
2011,Kader,E05001491,1647,335,453,428,431
2011,Ladgate,E05001492,1893,212,464,438,779
2011,Linthorpe,E05001493,4054,736,1076,882,1360
2011,North Ormesby and Brambles Farm,E05001494,5112,464,1157,1201,2290
2011,Marton,E05001495,1552,324,450,412,366
2011,Marton West,E05001496,1364,310,469,308,277
2011,Middlehaven,E05001497,25407,5172,8664,5132,6439
2011,Nunthorpe,E05001498,1411,433,432,305,241
2011,Pallister,E05001499,3102,224,562,646,1670
2011,Park,E05001500,3043,372,818,690,1163
2011,Park End,E05001501,2431,118,331,541,1441
2011,Stainton and Thornton,E05001502,1116,168,249,295,404
2011,Thorntree,E05001503,3030,171,404,597,1858
2011,University,E05001504,4884,503,1718,750,1913
2011,Alnwick,E05008018,2759,511,759,641,848
2011,Amble,E05008019,2197,244,476,637,840
2011,Amble West with Warkworth,E05008020,1731,446,510,400,375
2011,Ashington Central,E05008021,4878,524,1431,1166,1757
2011,Bamburgh,E05008022,2383,373,568,826,616
2011,Bedlington Central,E05008023,2512,401,909,548,654
2011,Bedlington East,E05008024,1815,168,410,460,777
2011,Bedlington West,E05008025,1715,366,474,386,489
2011,Bellingham,E05008026,2219,373,574,778,494
2011,Berwick East,E05008027,2647,286,579,845,937
2011,Berwick North,E05008028,3659,472,983,1120,1084
2011,Berwick West with Ord,E05008029,1511,139,319,479,574
2011,Bothal,E05008030,2300,446,628,544,682
2011,Bywell,E05008031,2138,675,580,437,446
2011,Chevington with Longhorseley,E05008032,2818,445,1099,658,616
2011,Choppington,E05008033,1752,216,413,447,676
2011,College,E05008034,2801,420,629,681,1071
2011,Corbridge,E05008035,3187,788,800,842,757
2011,Cowpen,E05008036,2410,202,491,664,1053
2011,Cramlington East,E05008037,1704,139,453,420,692
2011,Cramlington Eastfield,E05008038,1318,157,405,359,397
2011,Cramlington North,E05008039,1387,410,547,251,179
2011,Cramlington South East,E05008040,1882,409,660,413,400
